Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,errCode,dataGood_0,dataGood_1,dataGood_2,dataGood_3,altitudeBeam_0,altitudeBeam_1,altitudeBeam_2,altitudeBeam_3,bottomVelocityBeam_0,bottomVelocityBeam_1,bottomVelocityBeam_2,bottomVelocityBeam_3,waterVelocityBeam_0,waterVelocityBeam_1,waterVelocityBeam_2,waterVelocityBeam_3,waterVelocityCredit_0,waterVelocityCredit_1,waterVelocityCredit_2,waterVelocityCredit_3,velocityInst_0,velocityInst_1,velocityInst_2,velocityInstFlag,velocityEarth_0,velocityEarth_1,velocityEarth_2,velocityEarthFlag,waterVelocityInst_0,waterVelocityInst_1,waterVelocityInst_2,waterVelocityInstFlag,waterVelocityEarth_0,waterVelocityEarth_1,waterVelocityEarth_2,waterVelocityEarthFlag,roll,pitch,heading,altitude,temperature,pressure,salinity,soundSpeed,rawData
1372687208.632645,1245,1372687208,633787539,dvl_linkquest,0X0000,0,1,1,1,0.0,2.0,2.0,2.1,0.0,-0.0489,0.0848,0.0369,0.20400000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2424,-0.1145,-0.006500000000000001,1,-0.2424,-0.1145,-0.006500000000000001,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 0 1 1 1 0 2.0 2.0 2.1 0 -48.9 84.8 36.9 204 0 0 0 1 0 0 0 -242.4 -114.5 -6.5 1 -242.4 -114.5 -6.5 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 75
"
1372687208.9712906,1246,1372687208,970754788,dvl_linkquest,0X0000,0,1,1,1,0.0,2.0,2.0,2.1,0.0,-0.8699,0.09509999999999999,0.0193,-0.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 0 1 1 1 0 2.0 2.0 2.1 0 -869.9 95.1 19.3 -240 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 83
"
1372687209.3295708,1247,1372687209,332731486,dvl_linkquest,0X0000,0,1,1,1,0.0,2.0,2.0,2.1,0.0,-0.0426,0.0932,0.01,0.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2923,-0.0702,-0.0176,1,-0.2923,-0.0702,-0.0176,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 0 1 1 1 0 2.0 2.0 2.1 0 -42.6 93.2 10.0 440 0 0 0 1 0 0 0 -292.3 -70.2 -17.6 1 -292.3 -70.2 -17.6 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 73
"
1372687209.6913612,1248,1372687209,694532476,dvl_linkquest,0X0000,0,1,1,1,0.0,2.0,2.0,2.0,0.0,-0.019899999999999998,0.055700000000000006,0.015300000000000001,-0.555,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.15480000000000002,-0.047,-0.0025,1,-0.15480000000000002,-0.047,-0.0025,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 0 1 1 1 0 2.0 2.0 2.0 0 -19.9 55.7 15.3 -555 0 0 0 1 0 0 0 -154.8 -47.0 -2.5 1 -154.8 -47.0 -2.5 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 104
"
1372687210.04136,1249,1372687210,50381762,dvl_linkquest,0X0000,0,1,1,1,0.0,2.0,2.0,2.0,0.0,-0.0348,0.0485,0.0335,0.581,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.13119999999999998,-0.0912,-0.0007,1,-0.13119999999999998,-0.0912,-0.0007,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 0 1 1 1 0 2.0 2.0 2.0 0 -34.8 48.5 33.5 581 0 0 0 1 0 0 0 -131.2 -91.2 -0.7 1 -131.2 -91.2 -0.7 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 78
"
1372687210.4144418,1250,1372687210,415522531,dvl_linkquest,0X0000,0,1,1,1,0.0,2.0,2.0,2.0,0.0,-0.0192,0.047700000000000006,0.0152,-0.47500000000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.13269999999999998,-0.045899999999999996,-0.0022,1,-0.13269999999999998,-0.045899999999999996,-0.0022,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 0 1 1 1 0 2.0 2.0 2.0 0 -19.2 47.7 15.2 -475 0 0 0 1 0 0 0 -132.7 -45.9 -2.2 1 -132.7 -45.9 -2.2 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 98
"
1372687210.7744956,1251,1372687210,777928841,dvl_linkquest,0X0000,0,1,1,1,0.0,2.0,2.0,2.0,0.0,-0.027899999999999998,0.0353,-0.0262,-0.06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.16640000000000002,-0.0023,-0.0292,1,-0.16640000000000002,-0.0023,-0.0292,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 0 1 1 1 0 2.0 2.0 2.0 0 -27.9 35.3 -26.2 -60 0 0 0 1 0 0 0 -166.4 -2.3 -29.2 1 -166.4 -2.3 -29.2 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 120
"
1372687211.1221445,1252,1372687211,126857363,dvl_linkquest,0X0000,1,1,1,1,2.2,2.0,2.0,2.0,-0.0187,0.0023,0.06470000000000001,0.0932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1113,-0.1213,0.0381,1,-0.1113,-0.1213,0.0381,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.2 2.0 2.0 2.0 -18.7 2.3 64.7 93.2 0 0 0 0 0 0 0 0 -111.3 -121.3 38.1 1 -111.3 -121.3 38.1 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 67
"
1372687211.4798055,1253,1372687211,484276700,dvl_linkquest,0X0000,0,1,1,1,0.0,2.1,2.0,2.0,0.0,0.0024,0.0823,0.0862,0.319,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1014,-0.1118,0.047799999999999995,1,-0.1014,-0.1118,0.047799999999999995,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 0 1 1 1 0 2.1 2.0 2.0 0 2.4 82.3 86.2 319 0 0 0 1 0 0 0 -101.4 -111.8 47.8 1 -101.4 -111.8 47.8 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 85
"
1372687211.8366187,1254,1372687211,838203232,dvl_linkquest,0X0000,1,1,1,1,2.2,2.2,2.0,2.1,-0.0169,-0.005200000000000001,0.0621,0.0378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10540000000000001,-0.0574,0.021,1,-0.10540000000000001,-0.0574,0.021,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.2 2.2 2.0 2.1 -16.9 -5.2 62.1 37.8 0 0 0 0 0 0 0 0 -105.4 -57.4 21.0 1 -105.4 -57.4 21.0 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 111
"
